Nº,Nombre del negocio,Tipo de negocio,Dirección/Zona,Presencia online (Web/Redes),Nivel digital (Alto/Medio/Bajo),Servicios actuales de marketing,Puntos de mejora detectados,Potencial de inversión,Observaciones
1,"Casa Fidel O'Pulpeiro",Restaurante,Centro Histórico,"Web + Facebook + Instagram + Twitter",Medio,"Presencia en redes sociales","Diseño web mejorable, baja actividad en Twitter",Medio,"Restaurante tradicional gallego con buena valoración (4.6/5)"
2,"Gumer - Restaurante Pontevedra",Restaurante,Centro,"Web + Facebook + Instagram",Alto,"Gestión activa de redes sociales","Ampliar presencia a otras redes",Medio,"Restaurante de fusión con alta valoración (4.7/5)"
3,"Casa Román - Pontevedra",Restaurante,Centro Histórico,"Web + Facebook + Instagram",Medio,"Presencia básica en redes","Mejorar SEO, aumentar frecuencia de publicaciones",Medio,"Cocina tradicional gallega, valoración 4.4/5"
4,"Restaurante La Casa De Las 5 Puertas",Restaurante,Zona Monumental,"Web + Facebook + Instagram",Medio,"Presencia en redes sociales","Mejorar interacción en redes, optimizar web para móviles",Medio,"Ubicado en casa señorial del casco antiguo"
5,"Parador de Pontevedra",Hotel,Centro Histórico,"Web corporativa + Instagram",Bajo,"Marketing centralizado (cadena Paradores)","Personalización local de contenidos, mayor autonomía digital",Bajo,"Parte de cadena nacional, edificio histórico del siglo XVI"
6,"Galicia Palace",Hotel,Centro,"Web moderna + Facebook + Instagram + Tour virtual",Medio,"Presencia en redes, tour virtual","Mejorar SEO, implementar sistema de reservas más avanzado",Alto,"Único hotel 4 estrellas en el centro de la ciudad"
7,"Hotel Rías Bajas",Hotel,Centro,"Web + Facebook",Bajo,"Presencia básica en redes","Rediseño web, estrategia de contenidos, presencia en Instagram",Medio,"Hotel céntrico a 100m de la zona monumental"
8,"Club del Café - Pontevedra",Cafetería,Centro,"Web moderna + Facebook + Instagram + YouTube",Alto,"Gestión profesional de redes, contenido multimedia","Implementar programa de fidelización digital",Medio,"Cafetería especializada con tostador propio, valoración 4.6/5"
9,"Cafetería Moi Bo",Cafetería,Centro,"No analizado en detalle",No evaluado,"No analizado en detalle","No analizado en detalle",No evaluado,"Valoración 4.3/5"
10,"Misto Café Bar",Cafetería,Centro,"No analizado en detalle",No evaluado,"No analizado en detalle","No analizado en detalle",No evaluado,"Valoración 4.7/5, la más alta entre cafeterías"
